id;username;location;followers;public_repos;languages
470610;glampr;Athens - Greece;3;25;{'CoffeeScript': 3005, 'JavaScript': 1473648, 'CSS': 35261, 'Ruby': 178082, 'HTML': 15936, 'Shell': 108}
472467;ipavlidakis;Athens;0;7;{'Ruby': 1850, 'Objective-C': 130597}
472743;nikosd23;Athens;3;11;{'JavaScript': 5120, 'Java': 57232, 'Shell': 301}
474919;foss-aueb;Athens - Greece;0;9;{'JavaScript': 143, 'Java': 33838, 'PHP': 5989359}
475517;theofilis;Athens - Greece;23;107;{'TeX': 123237, 'JavaScript': 1537131, 'Java': 198729, 'CSS': 286385, 'ApacheConf': 356, 'Ruby': 475, 'Python': 190907, 'PHP': 78033, 'HTML': 11469, 'Shell': 1468}
476119;markos;Greece;5;11;{'TeX': 889564, 'Objective-C': 650199, 'Groff': 2407570, 'M4': 99894, 'Awk': 68721, 'C': 99019282, "Cap'n Proto": 867, 'XSLT': 498, 'D': 7356, 'JavaScript': 95796, 'Shell': 1773323, 'Makefile': 465063, 'CSS': 24336, 'Python': 235770, 'Assembly': 11492296, 'Logos': 97776, 'Perl': 141582, 'Java': 616246, 'C++': 4321433, 'HTML': 1529675, 'Yacc': 7516}
482757;cloneroach;Thessaloniki Greece;1;3;{'JavaScript': 288130, 'Java': 28415, 'CSS': 1127, 'Ruby': 857, 'ActionScript': 1542093, 'PHP': 1463, 'Shell': 41}
483871;ThesSite-gr;Thessaloniki - Greece;0;0;{'Perl': 71, 'JavaScript': 64329, 'PHP': 1301499, 'Shell': 277}
484163;PantelisGeorgiadis;Kastoria - Greece;0;2;{'Python': 3114}
484186;javapapo;Athens - Greece;44;6;{'TeX': 48289, 'Java': 3324784, 'Scala': 4747994, 'Perl': 11875, 'HTML': 796, 'Shell': 4668}
487219;pointergr;Greece;0;5;{'Prolog': 12763, 'JavaScript': 1912, 'Scheme': 113, 'C': 64754, 'CoffeeScript': 423, 'Ruby': 16242, 'Clojure': 34069, 'Shell': 12905, 'Makefile': 950, 'Erlang': 11384, 'CSS': 24128, 'Python': 490080, 'HTML': 4255, 'Haskell': 2018619, 'Perl': 3609, 'Emacs Lisp': 137, 'Scala': 8963, 'VimL': 5141}
488669;powertac;Minneapolis - Rotterdam - Thessaloniki - Pittsburgh - Zagre;0;30;{'Groovy': 1028, 'Java': 86387}
489451;smene;Greece;0;1;{'CoffeeScript': 1266, 'JavaScript': 571388, 'Python': 9362, 'CSS': 211337, 'Ruby': 96493, 'HTML': 66133}
490535;Archimidis;Greece;13;15;{}
491538;slavikos;Heraklion - Create - Greece;2;5;{'Perl': 15244}
491812;tzampatzis;Greece;3;10;{'CSS': 6348, 'PHP': 1787801, 'HTML': 1183}
494964;nikosprodro;Thessaloniki - Greece;5;8;{}
495338;delmoras;thessaloniki;0;2;{}
496777;pkaz;Athens - Greece;5;1;{}
497103;kozer;Greece;0;7;{'VimL': 6547, 'CoffeeScript': 2976, 'Shell': 2943}
498592;ppapadeas;Athens - Greece;91;58;{'JavaScript': 649022, 'Python': 1399808, 'Puppet': 6677, 'CSS': 244328, 'Shell': 3065}
499393;wizgrav;Athens - Greece;12;35;{'JavaScript': 68184, 'C': 323448, 'HTML': 8868, 'C++': 81806, 'Shell': 2129, 'Objective-C': 1357, 'Python': 11453, 'Makefile': 1279, 'Lua': 1674}
501585;ankostis;Greece - Italy;3;21;{}
504333;jstefanis;Heraklion Greece;0;10;{'Ruby': 180437, 'CoffeeScript': 687, 'CSS': 3201, 'JavaScript': 34088}
505321;eeVoskos;Athens;18;13;{'Java': 97219, 'Groovy': 1699}
509248;thkouk;Athens - Greece;0;0;{}
509474;giannoug;Athens - Greece;18;9;{'Arduino': 17525, 'C++': 2148, 'C': 65176, 'HTML': 3810, 'JavaScript': 6237}
517037;dimp;Tubeland - Greece;0;2;{}
518150;mocassinis;Lagonissi Greece;0;35;{'JavaScript': 120005, 'HTML': 4943, 'CSS': 27250, 'Smarty': 29, 'PHP': 154609, 'Perl': 2807, 'Python': 211}
