84;peimei;Palm Springs, CA;4;5;{'Ruby': 134287, 'JavaScript': 25230}
85;brixen;Portland, OR;305;110;{'HTML': 10930, 'Eiffel': 2854, 'CSS': 24908, 'Verilog': 4513, 'Emacs Lisp': 4848, 'Ruby': 384672, 'C': 725203, 'Haskell': 1208572, 'Perl': 14780, 'Shell': 9265}
87;tmornini;San Francisco;30;12;{'Ruby': 53680, 'Go': 9695, 'Shell': 80060}
88;outerim;SL,UT;13;9;{'Ruby': 15794, 'JavaScript': 141}
89;daksis;San Francisco, CA, USA;38;1;{}
90;sr;Brussels, Belgium;441;123;{'Shell': 427151, 'CSS': 104515, 'Groff': 9948, 'HTML': 219552, 'JavaScript': 2584511, 'Batchfile': 5303, 'PowerShell': 5978, 'AppleScript': 284, 'VimL': 3010, 'Protocol Buffer': 529045, 'Go': 49234083, 'Emacs Lisp': 25301, 'Makefile': 69342, 'Ruby': 617234, 'C': 100872, 'Python': 165299, 'HCL': 5585, 'Assembly': 41693, 'Puppet': 23664}
91;lifo;Plano, TX;485;16;{'Ruby': 138857, 'JavaScript': 79141}
92;rsl;Atlanta, GA;55;23;{'Ruby': 385470, 'Shell': 1949}
93;imownbey;San Francisco, CA;43;34;{'OCaml': 194, 'Haskell': 145, 'Clojure': 1146, 'Shell': 1178, 'JavaScript': 1236295, 'CoffeeScript': 1402, 'Io': 3352, 'Arc': 1227, 'Ruby': 154991, 'Python': 11132, 'Scala': 23692, 'Scheme': 51477, 'C': 1362}
94;dylanegan;Berlin, Germany;85;52;{'Shell': 193, 'CSS': 2965, 'HTML': 8657, 'Ruby': 245096, 'JavaScript': 35612, 'CoffeeScript': 17397}
95;jm;Orlando, FL;480;112;{'Go': 10410, 'Shell': 13836, 'CSS': 0, 'Ruby': 1409076, 'JavaScript': 189968, 'XSLT': 54779, 'Mirah': 652, 'Perl': 108898}
100;willcodeforfoo;Toledo, OH;36;40;{'HTML': 4554, 'Objective-C': 197671, 'CSS': 29516, 'VimL': 142867, 'Ruby': 175421, 'C++': 79933, 'Python': 21394, 'CMake': 6307, 'Matlab': 31924, 'C': 98922}
101;jvantuyl;San Francisco, California, USA;27;36;{'Erlang': 35882, 'Go': 1445, 'Shell': 639, 'Perl': 197, 'Python': 137600, 'JavaScript': 5034}
102;BrianTheCoder;Santa Monica,CA;69;109;{'Ruby': 307143, 'JavaScript': 1083540, 'CoffeeScript': 18205, 'CSS': 161170, 'Arduino': 1342}
103;freeformz;Beaverton, OR;77;159;{'Io': 1522, 'VimL': 14646, 'Go': 393171, 'Shell': 21939, 'CSS': 109087, 'HTML': 29122, 'Ruby': 83961, 'JavaScript': 1414, 'Makefile': 61}
104;hassox;San Francisco;255;129;{'Elm': 302182, 'Protocol Buffer': 5547, 'Shell': 1265, 'CSS': 11896, 'HTML': 15890, 'Ruby': 786889, 'JavaScript': 9158652, 'CoffeeScript': 17302, 'Elixir': 146872}
106;queso;Cincinnati, Oh;283;67;{'PHP': 2280677, 'Shell': 1845, 'CSS': 760940, 'HTML': 169800, 'Ruby': 432091, 'JavaScript': 967597, 'CoffeeScript': 35523}
